CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PHONE,ADDRESS,CREDIT_LIMIT,CUSTOMER_TYPE,CREATED_DATE
1,Customer_1,customer1@example.com,13800000001,Address for customer 1,15807.25,RETAIL,2024-12-04 05:00:33
2,Customer_2,customer2@example.com,13800000002,Address for customer 2,32733.93,RETAIL,2024-04-21 16:47:27
3,Customer_3,customer3@example.com,13800000003,Address for customer 3,8783.5,BUSINESS,2025-07-05 10:09:13
4,Customer_4,customer4@example.com,13800000004,Address for customer 4,3172.3,RETAIL,2025-04-03 04:16:37
5,Customer_5,customer5@example.com,13800000005,Address for customer 5,27020.53,RETAIL,2025-01-22 19:44:10
6,Customer_6,customer6@example.com,13800000006,Address for customer 6,13310.95,BUSINESS,2024-12-19 18:43:57
7,Customer_7,customer7@example.com,13800000007,Address for customer 7,40012.09,RETAIL,2024-12-18 23:31:22
8,Customer_8,customer8@example.com,13800000008,Address for customer 8,31673.9,RETAIL,2025-06-26 14:02:09
9,Customer_9,customer9@example.com,13800000009,Address for customer 9,16446.44,BUSINESS,2025-05-09 05:17:52
10,Customer_10,customer10@example.com,13800000010,Address for customer 10,45916.52,RETAIL,2024-12-27 12:39:21
11,Customer_11,customer11@example.com,13800000011,Address for customer 11,33396.58,RETAIL,2025-10-09 17:41:21
12,Customer_12,customer12@example.com,13800000012,Address for customer 12,3989.17,BUSINESS,2025-09-17 10:04:27
13,Customer_13,customer13@example.com,13800000013,Address for customer 13,8909.18,RETAIL,2025-08-04 02:46:19
14,Customer_14,customer14@example.com,13800000014,Address for customer 14,47518.08,RETAIL,2025-11-01 06:37:26
15,Customer_15,customer15@example.com,13800000015,Address for customer 15,41078.81,BUSINESS,2025-09-02 12:46:08
16,Customer_16,customer16@example.com,13800000016,Address for customer 16,2125.98,RETAIL,2024-12-14 05:55:13
17,Customer_17,customer17@example.com,13800000017,Address for customer 17,8527.4,RETAIL,2025-10-13 04:25:20
18,Customer_18,customer18@example.com,13800000018,Address for customer 18,13839.79,BUSINESS,2024-01-21 10:32:21
19,Customer_19,customer19@example.com,13800000019,Address for customer 19,1220.11,RETAIL,2025-07-06 20:39:13
20,Customer_20,customer20@example.com,13800000020,Address for customer 20,36265.47,RETAIL,2025-06-09 15:02:49
21,Customer_21,customer21@example.com,13800000021,Address for customer 21,7658.47,BUSINESS,2025-09-21 13:07:34
22,Customer_22,customer22@example.com,13800000022,Address for customer 22,45482.78,RETAIL,2025-12-05 15:44:38
23,Customer_23,customer23@example.com,13800000023,Address for customer 23,15498.13,RETAIL,2025-11-10 03:25:06
24,Customer_24,customer24@example.com,13800000024,Address for customer 24,44340.75,BUSINESS,2024-11-11 20:49:04
25,Customer_25,customer25@example.com,13800000025,Address for customer 25,30907.77,RETAIL,2025-10-23 20:44:17
26,Customer_26,customer26@example.com,13800000026,Address for customer 26,33973.4,RETAIL,2024-05-08 21:29:31
27,Customer_27,customer27@example.com,13800000027,Address for customer 27,37560.37,BUSINESS,2025-04-23 11:37:04
28,Customer_28,customer28@example.com,13800000028,Address for customer 28,27741.41,RETAIL,2025-02-08 12:46:46
29,Customer_29,customer29@example.com,13800000029,Address for customer 29,39021.73,RETAIL,2024-11-03 07:10:28
30,Customer_30,customer30@example.com,13800000030,Address for customer 30,48253.67,BUSINESS,2024-01-31 10:09:35
31,Customer_31,customer31@example.com,13800000031,Address for customer 31,22713.21,RETAIL,2025-11-24 10:14:48
32,Customer_32,customer32@example.com,13800000032,Address for customer 32,46610.3,RETAIL,2024-08-31 09:16:11
33,Customer_33,customer33@example.com,13800000033,Address for customer 33,30977.24,BUSINESS,2025-01-03 07:34:51
34,Customer_34,customer34@example.com,13800000034,Address for customer 34,26661.13,RETAIL,2024-06-07 19:38:15
35,Customer_35,customer35@example.com,13800000035,Address for customer 35,39928.03,RETAIL,2025-05-05 11:32:25
36,Customer_36,customer36@example.com,13800000036,Address for customer 36,29014.2,BUSINESS,2025-02-17 15:07:38
37,Customer_37,customer37@example.com,13800000037,Address for customer 37,25279.99,RETAIL,2024-05-21 10:54:41
38,Customer_38,customer38@example.com,13800000038,Address for customer 38,29150.54,RETAIL,2024-02-14 19:39:05
39,Customer_39,customer39@example.com,13800000039,Address for customer 39,11627.76,BUSINESS,2024-02-23 05:19:06
40,Customer_40,customer40@example.com,13800000040,Address for customer 40,37545.48,RETAIL,2024-06-28 20:58:08
41,Customer_41,customer41@example.com,13800000041,Address for customer 41,17267.12,RETAIL,2024-10-15 20:36:24
42,Customer_42,customer42@example.com,13800000042,Address for customer 42,47097.84,BUSINESS,2024-11-27 07:03:17
43,Customer_43,customer43@example.com,13800000043,Address for customer 43,27615.83,RETAIL,2024-11-23 21:34:10
44,Customer_44,customer44@example.com,13800000044,Address for customer 44,1216.12,RETAIL,2024-03-05 20:06:16
45,Customer_45,customer45@example.com,13800000045,Address for customer 45,36389.65,BUSINESS,2025-07-31 10:53:28
46,Customer_46,customer46@example.com,13800000046,Address for customer 46,48395.71,RETAIL,2025-02-20 04:23:51
47,Customer_47,customer47@example.com,13800000047,Address for customer 47,17044.78,RETAIL,2024-09-25 06:19:51
48,Customer_48,customer48@example.com,13800000048,Address for customer 48,49124.94,BUSINESS,2024-07-16 10:44:34
49,Customer_49,customer49@example.com,13800000049,Address for customer 49,33742.73,RETAIL,2025-03-03 22:15:45
